review_id,ATT,BI,PV,rating,beliefs
R0001,1.8,2.0,3.0,5.0,"[{""belief_text"": ""products really help his skin"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""Always great"", ""b_i"": 1.0, ""e_i"": 1, ""att_component"": 1.0, ""type"": ""general_belief""}]"
R0002,1.0,,1.0,5.0,"[{""belief_text"": ""natural ingredients"", ""b_i"": 1.0, ""e_i"": 1, ""att_component"": 1.0, ""type"": ""attribute""}]"
R0003,2.2,3.0,3.0,5.0,"[{""belief_text"": ""best hand-cream ever tried"", ""b_i"": 1.0, ""e_i"": 1, ""att_component"": 1.0, ""type"": ""general_belief""}, {""belief_text"": ""such a good price"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""feels wonderful"", ""b_i"": 0.4, ""e_i"": 1, ""att_component"": 0.4, ""type"": ""attribute""}]"
R0004,,,,5.0,"[{""belief_text"": ""great product"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""general_belief""}]"
R0005,2.4,,3.0,5.0,"[{""belief_text"": ""perfect gift for 20-30 year old women"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""small size fits great in purses and diaper bags"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""scents are gender neutral, even guys can use it"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}]"
R0006,,,3.0,5.0,"[{""belief_text"": ""beautiful packaging"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""attribute""}]"
R0007,1.6,,2.0,5.0,"[{""belief_text"": ""really like honey skin products"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""pomegranate lip balm is my new favorite"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}]"
R0008,2.3,,2.0,5.0,"[{""belief_text"": ""convenient shipping"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""attribute""}, {""belief_text"": ""products are a longtime favorite"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""convenient package provides a nice supply"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}]"
R0009,,,,5.0,"[{""belief_text"": ""product is nice"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""general_belief""}]"
R0010,0.7,,1.0,4.0,"[{""belief_text"": ""product is good enough as a gift"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""general_belief""}]"
